parts	slices	turns	n	omp	N	type	avg_time(sec)	avg_percent	min	max	std
1000000	500	2000	1	1	4	comm	0.94	2.5	2.5	2.5	0.0
1000000	500	2000	1	1	4	comp	36.31	96.87	96.87	96.87	0.0
1000000	500	2000	1	1	4	other	0.23	0.61	0.61	0.61	0.0
1000000	500	2000	1	1	4	total	37.48	100.0	100.0	100.0	0.0
3000000	1500	2000	3	1	4	comm	2.3	6.07	4.08	7.19	1.41
3000000	1500	2000	3	1	4	comp	35.39	93.36	92.24	95.33	1.4
3000000	1500	2000	3	1	4	other	0.22	0.59	0.57	0.61	0.02
3000000	1500	2000	3	1	4	total	37.91	100.0	100.0	100.0	0.0
5000000	2500	2000	5	1	4	comm	5.89	13.26	5.52	21.93	7.27
5000000	2500	2000	5	1	4	comp	36.78	86.19	77.55	93.87	7.23
5000000	2500	2000	5	1	4	other	0.24	0.55	0.51	0.61	0.04
5000000	2500	2000	5	1	4	total	42.91	100.0	100.0	100.0	0.0
7000000	3500	2000	7	1	4	comm	5.51	12.69	5.72	18.44	5.61
7000000	3500	2000	7	1	4	comp	36.78	86.78	81.07	93.69	5.56
7000000	3500	2000	7	1	4	other	0.23	0.53	0.47	0.61	0.05
7000000	3500	2000	7	1	4	total	42.51	100.0	100.0	100.0	0.0
9000000	4500	2000	9	1	4	comm	8.72	18.92	11.23	24.73	4.41
9000000	4500	2000	9	1	4	comp	36.76	80.57	74.8	88.2	4.38
9000000	4500	2000	9	1	4	other	0.24	0.52	0.47	0.59	0.04
9000000	4500	2000	9	1	4	total	45.72	100.0	100.0	100.0	0.0
11000000	5500	2000	11	1	4	comm	15.2	29.37	3.77	33.89	8.34
11000000	5500	2000	11	1	4	comp	36.3	70.13	65.64	95.66	8.31
11000000	5500	2000	11	1	4	other	0.26	0.5	0.43	0.6	0.06
11000000	5500	2000	11	1	4	total	51.77	100.0	100.0	100.0	0.0
13000000	6500	2000	13	1	4	comm	9.86	19.55	4.02	25.91	7.63
13000000	6500	2000	13	1	4	comp	39.21	79.97	73.66	95.4	7.59
13000000	6500	2000	13	1	4	other	0.24	0.49	0.41	0.62	0.06
13000000	6500	2000	13	1	4	total	49.31	100.0	100.0	100.0	0.0
15000000	7500	2000	15	1	4	comm	3.77	8.72	4.05	12.55	2.99
15000000	7500	2000	15	1	4	comp	39.19	90.75	86.94	95.4	2.96
15000000	7500	2000	15	1	4	other	0.23	0.53	0.48	0.62	0.04
15000000	7500	2000	15	1	4	total	43.19	100.0	100.0	100.0	0.0
17000000	8500	2000	17	1	4	comm	8.94	17.29	8.52	27.16	5.29
17000000	8500	2000	17	1	4	comp	41.69	82.21	72.38	90.92	5.26
17000000	8500	2000	17	1	4	other	0.25	0.5	0.44	0.61	0.05
17000000	8500	2000	17	1	4	total	50.88	100.0	100.0	100.0	0.0
19000000	9500	2000	19	1	4	comm	8.39	16.27	7.34	24.29	5.52
19000000	9500	2000	19	1	4	comp	41.89	83.22	75.26	92.09	5.51
19000000	9500	2000	19	1	4	other	0.26	0.51	0.44	0.76	0.07
19000000	9500	2000	19	1	4	total	50.53	100.0	100.0	100.0	0.0
21000000	10500	2000	21	1	4	comm	8.46	18.34	10.47	24.02	4.31
21000000	10500	2000	21	1	4	comp	36.71	81.16	75.49	89.04	4.3
21000000	10500	2000	21	1	4	other	0.22	0.5	0.45	0.62	0.04
21000000	10500	2000	21	1	4	total	45.4	100.0	100.0	100.0	0.0
23000000	11500	2000	23	1	4	comm	7.23	14.41	7.89	23.85	5.64
23000000	11500	2000	23	1	4	comp	41.69	85.08	75.71	91.53	5.6
23000000	11500	2000	23	1	4	other	0.25	0.51	0.44	0.58	0.04
23000000	11500	2000	23	1	4	total	49.17	100.0	100.0	100.0	0.0
25000000	12500	2000	25	1	4	comm	9.23	17.8	8.48	27.74	6.2
25000000	12500	2000	25	1	4	comp	41.4	81.67	71.77	90.98	6.16
25000000	12500	2000	25	1	4	other	0.27	0.53	0.44	0.82	0.07
25000000	12500	2000	25	1	4	total	50.9	100.0	100.0	100.0	0.0
27000000	13500	2000	27	1	4	comm	8.5	15.92	6.48	20.59	4.16
27000000	13500	2000	27	1	4	comp	44.09	83.62	78.96	93.04	4.14
27000000	13500	2000	27	1	4	other	0.24	0.46	0.41	0.52	0.03
27000000	13500	2000	27	1	4	total	52.83	100.0	100.0	100.0	0.0
29000000	14500	2000	29	1	4	comm	20.92	33.1	26.71	38.04	1.98
29000000	14500	2000	29	1	4	comp	41.96	66.51	61.59	72.89	1.98
29000000	14500	2000	29	1	4	other	0.25	0.39	0.36	0.49	0.02
29000000	14500	2000	29	1	4	total	63.13	100.0	100.0	100.0	0.0
31000000	15500	2000	31	1	4	comm	24.0	38.43	13.95	43.51	5.2
31000000	15500	2000	31	1	4	comp	38.11	61.17	56.11	85.49	5.17
31000000	15500	2000	31	1	4	other	0.25	0.4	0.33	0.57	0.05
31000000	15500	2000	31	1	4	total	62.35	100.0	100.0	100.0	0.0
33000000	16500	2000	33	1	4	comm	23.14	34.9	29.32	37.5	1.79
33000000	16500	2000	33	1	4	comp	42.87	64.72	62.16	70.28	1.78
33000000	16500	2000	33	1	4	other	0.25	0.38	0.35	0.47	0.02
33000000	16500	2000	33	1	4	total	66.26	100.0	100.0	100.0	0.0
35000000	17500	2000	35	1	4	comm	20.14	32.23	14.84	41.75	4.47
35000000	17500	2000	35	1	4	comp	42.05	67.38	57.79	84.57	4.46
35000000	17500	2000	35	1	4	other	0.25	0.39	0.34	0.6	0.05
35000000	17500	2000	35	1	4	total	62.44	100.0	100.0	100.0	0.0
37000000	18500	2000	37	1	4	comm	33.13	37.08	8.25	55.97	17.95
37000000	18500	2000	37	1	4	comp	55.71	62.47	43.77	91.11	17.77
37000000	18500	2000	37	1	4	other	0.4	0.45	0.24	0.73	0.19
37000000	18500	2000	37	1	4	total	89.24	100.0	100.0	100.0	0.0
39000000	19500	2000	39	1	4	comm	19.22	28.86	22.64	34.99	5.18
39000000	19500	2000	39	1	4	comp	47.15	70.72	64.64	76.94	5.13
39000000	19500	2000	39	1	4	other	0.28	0.42	0.34	0.6	0.06
39000000	19500	2000	39	1	4	total	66.65	100.0	100.0	100.0	0.0
41000000	20500	2000	41	1	4	comm	11.1	20.41	9.7	53.8	11.38
41000000	20500	2000	41	1	4	comp	42.56	79.18	45.95	89.87	11.33
41000000	20500	2000	41	1	4	other	0.22	0.41	0.24	0.49	0.06
41000000	20500	2000	41	1	4	total	53.89	100.0	100.0	100.0	0.0
43000000	21500	2000	43	1	4	comm	11.64	20.95	8.14	54.33	10.83
43000000	21500	2000	43	1	4	comp	43.49	78.65	45.43	91.41	10.78
43000000	21500	2000	43	1	4	other	0.22	0.4	0.25	0.7	0.07
43000000	21500	2000	43	1	4	total	55.36	100.0	100.0	100.0	0.0
45000000	22500	2000	45	1	4	comm	9.43	18.42	10.88	45.5	12.36
45000000	22500	2000	45	1	4	comp	41.5	81.13	54.09	88.69	12.34
45000000	22500	2000	45	1	4	other	0.23	0.44	0.4	0.52	0.03
45000000	22500	2000	45	1	4	total	51.16	100.0	100.0	100.0	0.0
47000000	23500	2000	47	1	4	comm	13.44	23.93	8.38	50.37	11.99
47000000	23500	2000	47	1	4	comp	42.33	75.66	49.28	91.14	11.98
47000000	23500	2000	47	1	4	other	0.23	0.41	0.35	0.49	0.03
47000000	23500	2000	47	1	4	total	56.0	100.0	100.0	100.0	0.0
49000000	24500	2000	49	1	4	comm	9.94	20.02	9.78	32.48	7.91
49000000	24500	2000	49	1	4	comp	39.47	79.53	67.07	89.78	7.9
49000000	24500	2000	49	1	4	other	0.23	0.45	0.4	0.52	0.03
49000000	24500	2000	49	1	4	total	49.64	100.0	100.0	100.0	0.0
51000000	25500	2000	51	1	4	comm	23.51	37.28	7.35	46.67	7.59
51000000	25500	2000	51	1	4	comp	39.31	62.34	53.0	92.11	7.55
51000000	25500	2000	51	1	4	other	0.24	0.38	0.31	0.63	0.06
51000000	25500	2000	51	1	4	total	63.06	100.0	100.0	100.0	0.0
53000000	26500	2000	53	1	4	comm	13.01	23.1	11.95	32.75	5.37
53000000	26500	2000	53	1	4	comp	42.97	76.47	66.85	87.58	5.38
53000000	26500	2000	53	1	4	other	0.24	0.43	0.38	0.49	0.03
53000000	26500	2000	53	1	4	total	56.22	100.0	100.0	100.0	0.0
55000000	27500	2000	55	1	4	comm	13.65	24.27	8.95	39.74	9.86
55000000	27500	2000	55	1	4	comp	42.22	75.31	59.81	90.61	9.87
55000000	27500	2000	55	1	4	other	0.23	0.41	0.37	0.5	0.03
55000000	27500	2000	55	1	4	total	56.1	100.0	100.0	100.0	0.0
57000000	28500	2000	57	1	4	comm	10.03	19.32	10.01	31.09	8.22
57000000	28500	2000	57	1	4	comp	41.64	80.24	68.5	89.56	8.21
57000000	28500	2000	57	1	4	other	0.23	0.44	0.37	0.5	0.03
57000000	28500	2000	57	1	4	total	51.89	100.0	100.0	100.0	0.0
59000000	29500	2000	59	1	4	comm	12.79	22.9	10.26	36.8	9.07
59000000	29500	2000	59	1	4	comp	42.46	76.68	62.8	89.33	9.08
59000000	29500	2000	59	1	4	other	0.24	0.43	0.37	0.51	0.03
59000000	29500	2000	59	1	4	total	55.48	100.0	100.0	100.0	0.0
61000000	30500	2000	61	1	4	comm	13.13	23.11	14.53	27.96	3.34
61000000	30500	2000	61	1	4	comp	43.4	76.47	71.59	85.03	3.35
61000000	30500	2000	61	1	4	other	0.24	0.42	0.38	0.5	0.03
61000000	30500	2000	61	1	4	total	56.77	100.0	100.0	100.0	0.0
63000000	31500	2000	63	1	4	comm	8.97	16.99	12.19	23.73	4.84
63000000	31500	2000	63	1	4	comp	43.59	82.55	75.8	87.34	4.85
63000000	31500	2000	63	1	4	other	0.24	0.46	0.41	0.52	0.03
63000000	31500	2000	63	1	4	total	52.8	100.0	100.0	100.0	0.0
65000000	32500	2000	65	1	4	comm	13.08	22.94	14.0	26.46	2.83
65000000	32500	2000	65	1	4	comp	43.62	76.64	73.04	85.57	2.83
65000000	32500	2000	65	1	4	other	0.24	0.42	0.38	0.49	0.02
65000000	32500	2000	65	1	4	total	56.94	100.0	100.0	100.0	0.0
67000000	33500	2000	67	1	4	comm	39.34	42.43	11.39	56.36	14.65
67000000	33500	2000	67	1	4	comp	53.08	57.23	43.38	87.94	14.53
67000000	33500	2000	67	1	4	other	0.31	0.34	0.22	0.66	0.13
67000000	33500	2000	67	1	4	total	92.73	100.0	100.0	100.0	0.0
69000000	34500	2000	69	1	4	comm	9.19	17.19	12.6	20.39	2.25
69000000	34500	2000	69	1	4	comp	44.02	82.38	79.16	86.97	2.24
69000000	34500	2000	69	1	4	other	0.23	0.44	0.38	0.55	0.03
69000000	34500	2000	69	1	4	total	53.44	100.0	100.0	100.0	0.0
71000000	35500	2000	71	1	4	comm	8.33	15.71	12.08	19.23	2.61
71000000	35500	2000	71	1	4	comp	44.46	83.85	80.32	87.49	2.61
71000000	35500	2000	71	1	4	other	0.23	0.44	0.37	0.71	0.04
71000000	35500	2000	71	1	4	total	53.03	100.0	100.0	100.0	0.0
73000000	36500	2000	73	1	4	comm	12.43	21.59	12.85	23.21	1.69
73000000	36500	2000	73	1	4	comp	44.84	78.01	76.41	86.74	1.68
73000000	36500	2000	73	1	4	other	0.23	0.4	0.36	0.55	0.03
73000000	36500	2000	73	1	4	total	57.5	100.0	100.0	100.0	0.0
75000000	37500	2000	75	1	4	comm	8.88	16.31	13.88	18.53	1.51
75000000	37500	2000	75	1	4	comp	45.35	83.26	80.99	85.69	1.52
75000000	37500	2000	75	1	4	other	0.24	0.44	0.39	0.54	0.03
75000000	37500	2000	75	1	4	total	54.47	100.0	100.0	100.0	0.0
77000000	38500	2000	77	1	4	comm	26.16	36.7	31.77	43.96	2.52
77000000	38500	2000	77	1	4	comp	44.86	62.95	55.65	67.81	2.51
77000000	38500	2000	77	1	4	other	0.25	0.36	0.31	0.42	0.03
77000000	38500	2000	77	1	4	total	71.27	100.0	100.0	100.0	0.0
